Day,funnel,Total users,New users,Returning users,New user %
2025-09-01,기타,1339,0,1339,0.0
2025-09-01,유입,3329,939,2390,28.20666866927005
2025-09-01,활동,1342,0,1342,0.0
2025-09-02,구매완료,1,0,1,0.0
2025-09-02,기타,1077,0,1077,0.0
2025-09-02,유입,2783,817,1966,29.35680919870643
2025-09-02,활동,1070,0,1070,0.0
2025-09-03,구매완료,5,0,5,0.0
2025-09-03,기타,1375,0,1375,0.0
2025-09-03,유입,3590,1045,2545,29.108635097493035
2025-09-03,활동,1375,0,1375,0.0
2025-09-04,구매완료,2,0,2,0.0
2025-09-04,기타,698,0,698,0.0
2025-09-04,유입,1702,469,1233,27.555816686251468
2025-09-04,활동,705,0,705,0.0
2025-09-05,구매완료,1,0,1,0.0
2025-09-05,기타,844,0,844,0.0
2025-09-05,유입,2150,590,1560,27.44186046511628
2025-09-05,활동,854,0,854,0.0
2025-09-06,구매완료,2,0,2,0.0
2025-09-06,기타,855,0,855,0.0
2025-09-06,유입,2203,597,1606,27.099409895596914
2025-09-06,활동,865,0,865,0.0
2025-09-07,기타,920,0,920,0.0
2025-09-07,유입,2322,560,1762,24.117140396210164
2025-09-07,활동,969,0,969,0.0
2025-09-08,구매완료,3,0,3,0.0
2025-09-08,기타,867,0,867,0.0
2025-09-08,유입,2086,483,1603,23.154362416107382
2025-09-08,활동,876,0,876,0.0
2025-09-09,구매완료,2,0,2,0.0
2025-09-09,기타,847,0,847,0.0
2025-09-09,유입,2017,434,1583,21.51710461080813
2025-09-09,활동,847,0,847,0.0
2025-09-10,구매완료,4,0,4,0.0
2025-09-10,기타,906,0,906,0.0
2025-09-10,유입,2219,491,1728,22.127084272194683
2025-09-10,활동,934,0,934,0.0
2025-09-11,구매완료,1,0,1,0.0
2025-09-11,기타,917,0,917,0.0
2025-09-11,유입,2376,554,1822,23.316498316498315
2025-09-11,활동,1022,0,1022,0.0
2025-09-12,기타,880,0,880,0.0
2025-09-12,유입,2261,505,1756,22.335249889429456
2025-09-12,활동,970,0,970,0.0
2025-09-13,구매완료,1,0,1,0.0
2025-09-13,기타,916,0,916,0.0
2025-09-13,유입,2320,486,1834,20.948275862068964
2025-09-13,활동,974,0,974,0.0
2025-09-14,기타,943,0,943,0.0
2025-09-14,유입,2388,507,1881,21.231155778894472
2025-09-14,활동,1004,0,1004,0.0
2025-09-15,구매완료,1,0,1,0.0
2025-09-15,기타,810,0,810,0.0
2025-09-15,유입,2091,526,1565,25.15542802486848
2025-09-15,활동,998,0,998,0.0
2025-09-16,구매완료,3,0,3,0.0
2025-09-16,기타,437,0,437,0.0
2025-09-16,유입,1162,332,830,28.57142857142857
2025-09-16,활동,512,0,512,0.0
2025-09-17,구매완료,2,0,2,0.0
2025-09-17,기타,566,0,566,0.0
2025-09-17,유입,1533,439,1094,28.636660143509456
2025-09-17,활동,661,0,661,0.0
2025-09-18,구매완료,1,0,1,0.0
2025-09-18,기타,466,0,466,0.0
2025-09-18,유입,1294,374,920,28.90262751159196
2025-09-18,활동,554,0,554,0.0
2025-09-19,기타,455,0,455,0.0
2025-09-19,유입,1259,360,899,28.594122319301036
2025-09-19,활동,528,0,528,0.0
2025-09-20,기타,411,0,411,0.0
2025-09-20,유입,1172,346,826,29.522184300341298
2025-09-20,활동,474,0,474,0.0
2025-09-21,구매완료,2,0,2,0.0
2025-09-21,기타,490,0,490,0.0
2025-09-21,유입,1396,423,973,30.30085959885387
2025-09-21,활동,550,0,550,0.0
2025-09-22,구매완료,2,0,2,0.0
2025-09-22,기타,420,0,420,0.0
2025-09-22,유입,1157,343,814,29.64563526361279
2025-09-22,활동,475,0,475,0.0
2025-09-23,구매완료,1,0,1,0.0
2025-09-23,기타,536,0,536,0.0
2025-09-23,유입,1543,474,1069,30.719377835385615
2025-09-23,활동,598,0,598,0.0
2025-09-24,기타,575,0,575,0.0
2025-09-24,유입,1646,493,1153,29.951397326852973
2025-09-24,활동,607,0,607,0.0
2025-09-25,구매완료,2,0,2,0.0
2025-09-25,기타,585,0,585,0.0
2025-09-25,유입,1618,484,1134,29.913473423980225
2025-09-25,활동,628,0,628,0.0
2025-09-26,기타,502,0,502,0.0
2025-09-26,유입,1422,426,996,29.957805907172997
2025-09-26,활동,566,0,566,0.0
2025-09-27,기타,473,0,473,0.0
2025-09-27,유입,1341,412,929,30.723340790454884
2025-09-27,활동,512,0,512,0.0
2025-09-28,구매완료,2,0,2,0.0
2025-09-28,기타,590,0,590,0.0
2025-09-28,유입,1679,504,1175,30.01786777843955
2025-09-28,활동,638,0,638,0.0
2025-09-29,구매완료,1,0,1,0.0
2025-09-29,기타,569,0,569,0.0
2025-09-29,유입,1655,498,1157,30.090634441087616
2025-09-29,활동,619,0,619,0.0
2025-09-30,구매완료,2,0,2,0.0
2025-09-30,기타,547,0,547,0.0
2025-09-30,유입,1493,432,1061,28.935030140656398
2025-09-30,활동,603,0,603,0.0
2025-10-01,구매완료,1,0,1,0.0
2025-10-01,기타,546,0,546,0.0
2025-10-01,유입,1505,435,1070,28.903654485049834
2025-10-01,활동,605,0,605,0.0
2025-10-02,구매완료,1,0,1,0.0
2025-10-02,기타,512,0,512,0.0
2025-10-02,유입,1411,408,1003,28.915662650602407
2025-10-02,활동,557,0,557,0.0
