월,주,일,광고세트,성별,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,성별_통합,유형구분_통합
2025-01,2025-01-06/2025-01-12,2025-01-08,250103_기프티콘,Unknown,구분필요,-,기타,기타,기타,37,3,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,250103_폴더영상,Female,구분필요,-,기타,기타,기타,1939,25,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,250103_폴더영상,Male,구분필요,-,기타,기타,기타,3937,103,2.0,0,0,0.0,0.0,1968.5,남성,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,250103_폴더영상,Unknown,구분필요,-,기타,기타,기타,7,1,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,[GM]241121_프라이싱_2_신디자인,Female,구분필요,-,기타,기타,기타,1164,34,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,[GM]241121_프라이싱_2_신디자인,Male,구분필요,-,기타,기타,기타,8010,112,0.0,0,0,0.0,0.0,0.0,남성,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,[GM]241121_프라이싱_2_신디자인,Unknown,구분필요,-,기타,기타,기타,305,5,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2025-01-06/2025-01-12,2025-01-09,250103_검색기록,Female,구분필요,-,기타,기타,기타,1623,27,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2025-01-06/2025-01-12,2025-01-09,250103_검색기록,Male,구분필요,-,기타,기타,기타,3076,64,4.0,0,0,0.0,0.0,769.0,남성,전환
2025-01,2025-01-06/2025-01-12,2025-01-09,250103_검색기록,Unknown,구분필요,-,기타,기타,기타,16,1,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2025-01-06/2025-01-12,2025-01-09,250103_기프티콘,Female,구분필요,-,기타,기타,기타,502,17,0.0,0,0,0.0,0.0,0.0,여성,전환
