월,주,일,광고세트,기기플랫폼,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,기기플랫폼_통합,유형구분_통합
2025-11,2025-11-10/2025-11-16,2025-11-13,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,10.05,863,20,0,0.0,0.0,0.0,0.5025000000000001,앱,전환
2025-11,2025-11-10/2025-11-16,2025-11-13,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile web,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.01,2,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-13,메타-전환-안토메-25컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,기타,0.0,3,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-13,메타-전환-안토메-25컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,기타,9.54,1357,27,0,0.0,0.0,0.0,0.3533333333333333,앱,전환
2025-11,2025-11-10/2025-11-16,2025-11-13,어드밴티지 설정,Desktop,메타_전환,타겟팅,기타,전제품,기타,0.02,2,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-13,어드밴티지 설정,Mobile app,메타_전환,타겟팅,기타,전제품,기타,7.48,596,30,0,0.0,0.0,0.0,0.24933333333333335,앱,전환
2025-11,2025-11-10/2025-11-16,2025-11-13,어드밴티지 설정,Mobile web,메타_전환,타겟팅,기타,전제품,기타,0.0,2,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-13,추천 설정이 적용된 새로운 트래픽 광고 세트,Desktop,메타_트래픽,타겟팅,기타,전제품,기타,0.01,1,0,0,0.0,0.0,0.0,0.0,웹,트래픽
2025-11,2025-11-10/2025-11-16,2025-11-13,추천 설정이 적용된 새로운 트래픽 광고 세트,Mobile app,메타_트래픽,타겟팅,기타,전제품,기타,14.65,2224,101,0,0.0,0.0,0.0,0.14504950495049504,앱,트래픽
2025-11,2025-11-10/2025-11-16,2025-11-13,추천 설정이 적용된 새로운 트래픽 광고 세트,Mobile web,메타_트래픽,타겟팅,기타,전제품,기타,0.02,3,0,0,0.0,0.0,0.0,0.0,모바일웹,트래픽
2025-11,2025-11-10/2025-11-16,2025-11-14,메타-전환-안토메-25FW컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.09,8,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-14,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,8.23,910,18,1,62.95,764.8845686512758,8.23,0.45722222222222225,앱,전환
2025-11,2025-11-10/2025-11-16,2025-11-14,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile web,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.03,1,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-14,메타-전환-안토메-25컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,기타,0.02,2,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-14,메타-전환-안토메-25컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,기타,9.46,1165,34,0,0.0,0.0,0.0,0.2782352941176471,앱,전환
