광고세트,성별,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,링크클릭,전환수,전환값,ROAS,CPA
4.사기헤어오일-MO,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,232485.0,1936.0,105.0,11.0,327470.0,140.85639933759165,21135.0
4.사기헤어오일-PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,11693.0,845.0,5.0,1.0,28800.0,246.30120584965366,11693.0
4.사기헤어오일-PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,4741.0,1238.0,2.0,1.0,29000.0,611.6852984602405,4741.0
4.사기헤어오일-PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,22616.0,1405.0,11.0,4.0,100100.0,442.6070038910506,5654.0
4.젖은머리오일-MO,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,16610.0,335.0,8.0,2.0,56000.0,337.1462974111981,8305.0
4.젖은머리오일-MO,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,29.0,0.0,0.0,0.0,0.0,0.0
4.젖은머리오일-MO,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,25311.0,842.0,17.0,2.0,56000.0,221.24767887479751,12655.5
4.젖은머리오일-PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,2750.0,26.0,2.0,1.0,27160.0,987.6363636363637,2750.0
4.젖은머리오일-PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,16.0,0.0,0.0,0.0,0.0,0.0
4.젖은머리오일-PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,396.0,57.0,1.0,0.0,0.0,0.0,0.0
5.두피각질-MO,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,44407.0,657.0,20.0,2.0,56000.0,126.10624451100053,22203.5
5.두피각질-MO,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,85162.0,22085.0,18.0,0.0,0.0,0.0,0.0
5.두피각질-MO,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,81455.0,1793.0,39.0,5.0,122320.0,150.16880486158,16291.0
5.두피각질-PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,4939.0,35.0,2.0,0.0,0.0,0.0,0.0
5.두피각질-PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,219.0,0.0,0.0,0.0,0.0,0.0
5.두피각질-PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,6072.0,102.0,2.0,0.0,0.0,0.0,0.0
5.사과식초_MO,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,16225.0,3716.0,6.0,0.0,0.0,0.0,0.0
5.사과식초_MO,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,10769.0,4963.0,3.0,0.0,0.0,0.0,0.0
5.사과식초_MO,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,69289.0,7023.0,23.0,1.0,15500.0,22.37007317178773,69289.0
