광고세트,연령,성별,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,링크클릭,전환수,전환값,ROAS,CPA
신제품-로브-1865,35-44,Unknown,메타_전환,타겟팅,신제품,목욕가운,기타,453.0,26,1.0,0.0,0.0,0.0,0.0
신제품-로브-1865,45-54,Female,메타_전환,타겟팅,신제품,목욕가운,기타,106840.0,3444,169.0,5.0,349800.0,327.405466117559,21368.0
신제품-로브-1865,45-54,Male,메타_전환,타겟팅,신제품,목욕가운,기타,9222.0,339,13.0,0.0,0.0,0.0,0.0
신제품-로브-1865,45-54,Unknown,메타_전환,타겟팅,신제품,목욕가운,기타,169.0,8,0.0,0.0,0.0,0.0,0.0
신제품-로브-1865,55-64,Female,메타_전환,타겟팅,신제품,목욕가운,기타,29690.0,663,32.0,0.0,0.0,0.0,0.0
신제품-로브-1865,55-64,Male,메타_전환,타겟팅,신제품,목욕가운,기타,1396.0,69,0.0,0.0,0.0,0.0,0.0
신제품-로브-1865,55-64,Unknown,메타_전환,타겟팅,신제품,목욕가운,기타,103.0,6,0.0,0.0,0.0,0.0,0.0
신제품-로브-1865,65+,Female,메타_전환,타겟팅,신제품,목욕가운,기타,2123.0,75,2.0,0.0,0.0,0.0,0.0
신제품-로브-1865,65+,Male,메타_전환,타겟팅,신제품,목욕가운,기타,299.0,20,0.0,0.0,0.0,0.0,0.0
신제품-로브-1865,Unknown,Unknown,메타_전환,타겟팅,신제품,목욕가운,기타,0.0,0,0.0,0.0,0.0,0.0,0.0
