광고세트,플랫폼,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,링크클릭,전환수,전환값,ROAS,CPA
앞치마-야구-1865,Audience Network,메타_전환,타겟팅,기존제품,앞치마,기타,5633.0,436.0,115.0,0.0,0.0,0.0,0.0
앞치마-야구-1865,Facebook,메타_전환,타겟팅,기존제품,앞치마,기타,71553.0,2183.0,41.0,1.0,19800.0,27.671795731835143,71553.0
앞치마-야구-1865,Instagram,메타_전환,타겟팅,기존제품,앞치마,기타,627194.0,22052.0,395.0,15.0,509460.0,81.22845562935869,41812.933333333334
앞치마-야구-1865,Messenger,메타_전환,타겟팅,기존제품,앞치마,기타,5.0,2.0,0.0,0.0,0.0,0.0,0.0
앞치마-야구-1865,Uncategorized,메타_전환,타겟팅,기존제품,앞치마,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
앞치마-야구-1865,threads,메타_전환,타겟팅,기존제품,앞치마,기타,3597.0,1587.0,5.0,0.0,0.0,0.0,0.0
야구 층간소음 룸슈즈-1,Audience Network,메타_전환,타겟팅,기존제품,룸슈즈,기타,946.0,66.0,9.0,0.0,0.0,0.0,0.0
야구 층간소음 룸슈즈-1,Facebook,메타_전환,타겟팅,기존제품,룸슈즈,기타,10556.0,363.0,4.0,0.0,0.0,0.0,0.0
야구 층간소음 룸슈즈-1,Instagram,메타_전환,타겟팅,기존제품,룸슈즈,기타,110199.0,4698.0,45.0,1.0,29800.0,27.041987676839174,110199.0
야구 층간소음 룸슈즈-1,threads,메타_전환,타겟팅,기존제품,룸슈즈,기타,4647.0,1056.0,1.0,0.0,0.0,0.0,0.0
어드벤 토끼콤마 0416 광고 세트,Audience Network,메타_전환,타겟팅,기존제품,기타,기타,1087.0,88.0,1.0,0.0,0.0,0.0,0.0
어드벤 토끼콤마 0416 광고 세트,Facebook,메타_전환,타겟팅,기존제품,기타,기타,140205.0,10620.0,125.0,2.0,52000.0,37.088548910523876,70102.5
어드벤 토끼콤마 0416 광고 세트,Instagram,메타_전환,타겟팅,기존제품,기타,기타,7707174.0,522186.0,9228.0,404.0,11680906.0,151.5588722922306,19077.163366336634
어드벤 토끼콤마 0416 광고 세트,Messenger,메타_전환,타겟팅,기존제품,기타,기타,57.0,28.0,0.0,0.0,0.0,0.0,0.0
어드벤 토끼콤마 0416 광고 세트,Uncategorized,메타_전환,타겟팅,기존제품,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
예일_짜집기(ver2),Audience Network,메타_전환,타겟팅,기존제품,기타,기타,3003.0,284.0,13.0,1.0,14800.0,492.84049284049286,3003.0
예일_짜집기(ver2),Facebook,메타_전환,타겟팅,기존제품,기타,기타,112130.0,6125.0,88.0,7.0,199400.0,177.829305270668,16018.57142857143
예일_짜집기(ver2),Instagram,메타_전환,타겟팅,기존제품,기타,기타,2630998.0,94304.0,1920.0,122.0,4081297.0,155.12353107071917,21565.55737704918
예일_짜집기(ver2),Messenger,메타_전환,타겟팅,기존제품,기타,기타,1.0,1.0,0.0,0.0,0.0,0.0,0.0
예일_짜집기(ver2),Uncategorized,메타_전환,타겟팅,기존제품,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
예일_짜집기(ver3),Audience Network,메타_전환,타겟팅,기존제품,기타,기타,3853.0,208.0,13.0,1.0,22900.0,594.3420711134181,3853.0
예일_짜집기(ver3),Facebook,메타_전환,타겟팅,기존제품,기타,기타,145863.0,9556.0,94.0,5.0,139400.0,95.56912993699568,29172.6
예일_짜집기(ver3),Instagram,메타_전환,타겟팅,기존제품,기타,기타,4270491.0,194001.0,4144.0,213.0,6775032.0,158.64761218323608,20049.25352112676
예일_짜집기(ver3),Messenger,메타_전환,타겟팅,기존제품,기타,기타,0.0,2.0,0.0,0.0,0.0,0.0,0.0
잠옷 콘텐츠조회,Audience Network,메타_전환,타겟팅,기존제품,잠옷,기타,1294.0,719.0,10.0,0.0,0.0,0.0,0.0
잠옷 콘텐츠조회,Facebook,메타_전환,타겟팅,기존제품,잠옷,기타,9770.0,5800.0,43.0,0.0,0.0,0.0,0.0
잠옷 콘텐츠조회,Instagram,메타_전환,타겟팅,기존제품,잠옷,기타,222049.0,70173.0,1293.0,1.0,21800.0,9.817652860404685,222049.0
잠옷 콘텐츠조회,Messenger,메타_전환,타겟팅,기존제품,잠옷,기타,6.0,80.0,0.0,0.0,0.0,0.0,0.0
잠옷 콘텐츠조회,Uncategorized,메타_전환,타겟팅,기존제품,잠옷,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
잠옷 콘텐츠조회,threads,메타_전환,타겟팅,기존제품,잠옷,기타,3391.0,3241.0,52.0,0.0,0.0,0.0,0.0
전제품-어드밴티지-1865,Audience Network,메타_전환,타겟팅,기존제품,기타,기타,42919.0,3802.0,655.0,5.0,168000.0,391.4350287751346,8583.8
전제품-어드밴티지-1865,Facebook,메타_전환,타겟팅,기존제품,기타,기타,2953539.0,204339.0,2628.0,174.0,5617906.0,190.20930483734938,16974.362068965518
전제품-어드밴티지-1865,Instagram,메타_전환,타겟팅,기존제품,기타,기타,46529285.0,2995286.0,43729.0,2766.0,87662866.0,188.4036386976503,16821.867317425887
전제품-어드밴티지-1865,Messenger,메타_전환,타겟팅,기존제품,기타,기타,226.0,183.0,0.0,0.0,0.0,0.0,0.0
전제품-어드밴티지-1865,Uncategorized,메타_전환,타겟팅,기존제품,기타,기타,0.0,0.0,0.0,6.0,222400.0,0.0,0.0
전제품-어드밴티지-1865,threads,메타_전환,타겟팅,기존제품,기타,기타,211278.0,73980.0,441.0,10.0,260800.0,123.43926012173534,21127.8
전제품-어드밴티지-2554,Audience Network,메타_전환,타겟팅,기존제품,기타,기타,946.0,99.0,14.0,0.0,0.0,0.0,0.0
전제품-어드밴티지-2554,Facebook,메타_전환,타겟팅,기존제품,기타,기타,50818.0,2635.0,42.0,2.0,59400.0,116.88771695068677,25409.0
전제품-어드밴티지-2554,Instagram,메타_전환,타겟팅,기존제품,기타,기타,2296096.0,312646.0,4947.0,114.0,3666700.0,159.6928003010327,20141.19298245614
전제품-어드밴티지-2554,Messenger,메타_전환,타겟팅,기존제품,기타,기타,1.0,1.0,0.0,0.0,0.0,0.0,0.0
전제품-어드밴티지-2554,Uncategorized,메타_전환,타겟팅,기존제품,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전제품-어드밴티지-2554,threads,메타_전환,타겟팅,기존제품,기타,기타,17195.0,5809.0,41.0,0.0,0.0,0.0,0.0
토마토 유정,Instagram,메타_전환,타겟팅,기존제품,발매트,기타,10113797.0,690109.0,20373.0,729.0,22036602.0,217.88653657968416,13873.521262002743
토마토 유정,Uncategorized,메타_전환,타겟팅,기존제품,발매트,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
토마토 호수,Instagram,메타_전환,타겟팅,기존제품,발매트,기타,7606543.0,895921.0,11942.0,549.0,14669745.0,192.85692593862942,13855.269581056466
토마토 호수,Uncategorized,메타_전환,타겟팅,기존제품,발매트,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
토마토-영은-1865-여성-구매60일제외,Instagram,메타_전환,타겟팅,기존제품,발매트,기타,10123517.0,357004.0,12386.0,564.0,18857557.0,186.27476004633567,17949.498226950356
토마토-영은-1865-여성-구매60일제외,Uncategorized,메타_전환,타겟팅,기존제품,발매트,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
트래픽 데이지 이미지,Audience Network,메타_트래픽,타겟팅,기존제품,발매트,기타,87368.0,14015.0,250.0,0.0,0.0,0.0,0.0
트래픽 데이지 이미지,Facebook,메타_트래픽,타겟팅,기존제품,발매트,기타,215022.0,48324.0,668.0,1.0,17800.0,8.278222693491829,215022.0
트래픽 데이지 이미지,Instagram,메타_트래픽,타겟팅,기존제품,발매트,기타,1538411.0,134605.0,4749.0,16.0,375300.0,24.39530138565052,96150.6875
트래픽 데이지 이미지,Messenger,메타_트래픽,타겟팅,기존제품,발매트,기타,23.0,24.0,0.0,0.0,0.0,0.0,0.0
트래픽 데이지 이미지,Uncategorized,메타_트래픽,타겟팅,기존제품,발매트,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
트래픽 민혁,Audience Network,메타_트래픽,타겟팅,기존제품,기타,기타,403906.0,23549.0,1293.0,1.0,29600.0,7.328437804835779,403906.0
트래픽 민혁,Facebook,메타_트래픽,타겟팅,기존제품,기타,기타,446284.0,77784.0,1651.0,3.0,82800.0,18.553208270966472,148761.33333333334
트래픽 민혁,Instagram,메타_트래픽,타겟팅,기존제품,기타,기타,1196280.0,115900.0,4688.0,23.0,652000.0,54.502290433677736,52012.17391304348
트래픽 민혁,Messenger,메타_트래픽,타겟팅,기존제품,기타,기타,0.0,1.0,0.0,0.0,0.0,0.0,0.0
트래픽 민혁,Uncategorized,메타_트래픽,타겟팅,기존제품,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
트래픽 사라음성 -,Audience Network,메타_트래픽,타겟팅,기존제품,기타,기타,78340.0,6334.0,239.0,0.0,0.0,0.0,0.0
트래픽 사라음성 -,Facebook,메타_트래픽,타겟팅,기존제품,기타,기타,125865.0,17460.0,467.0,2.0,49400.0,39.248401064632745,62932.5
트래픽 사라음성 -,Instagram,메타_트래픽,타겟팅,기존제품,기타,기타,1637422.0,159128.0,6244.0,34.0,828700.0,50.61004432577552,48159.470588235294
트래픽 사라음성 -,Uncategorized,메타_트래픽,타겟팅,기존제품,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
트래픽 호랑이 파란이미지,Audience Network,메타_트래픽,타겟팅,기존제품,호랑이러그,기타,1277.0,310.0,14.0,0.0,0.0,0.0,0.0
트래픽 호랑이 파란이미지,Facebook,메타_트래픽,타겟팅,기존제품,호랑이러그,기타,60692.0,11530.0,277.0,1.0,29800.0,49.100375667303766,60692.0
트래픽 호랑이 파란이미지,Instagram,메타_트래픽,타겟팅,기존제품,호랑이러그,기타,2185230.0,324891.0,10513.0,19.0,596400.0,27.292321632047884,115012.1052631579
트래픽 호랑이 파란이미지,Uncategorized,메타_트래픽,타겟팅,기존제품,호랑이러그,기타,0.0,0.0,0.0,1.0,26800.0,0.0,0.0
호랑이러그-2554,Audience Network,메타_전환,타겟팅,기존제품,호랑이러그,기타,232.0,9.0,1.0,0.0,0.0,0.0,0.0
호랑이러그-2554,Facebook,메타_전환,타겟팅,기존제품,호랑이러그,기타,14936.0,1662.0,26.0,1.0,32800.0,219.6036422067488,14936.0
호랑이러그-2554,Instagram,메타_전환,타겟팅,기존제품,호랑이러그,기타,352267.0,42376.0,607.0,16.0,545800.0,154.93929320657344,22016.6875
호랑이러그-2554,Uncategorized,메타_전환,타겟팅,기존제품,호랑이러그,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
호랑이러그-2554,threads,메타_전환,타겟팅,기존제품,호랑이러그,기타,8700.0,3738.0,33.0,2.0,117700.0,1352.8735632183907,4350.0
