월,주,일,광고세트,연령,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,연령_통합,유형구분_통합
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_에어드롭,18-24,구분필요,-,기타,기타,기타,62,4,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_에어드롭,25-34,구분필요,-,기타,기타,기타,771,33,0.0,0,0,0.0,0.0,0.0,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_에어드롭,35-44,구분필요,-,기타,기타,기타,639,9,0.0,0,0,0.0,0.0,0.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_에어드롭,45-54,구분필요,-,기타,기타,기타,4,1,0.0,0,0,0.0,0.0,0.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_에어드롭,55-64,구분필요,-,기타,기타,기타,233,3,0.0,0,0,0.0,0.0,0.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_에어드롭,65+,구분필요,-,기타,기타,기타,17,1,0.0,0,0,0.0,0.0,0.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250102_테스트4 - 영상,18-24,구분필요,-,기타,기타,기타,1307,18,3.0,0,0,0.0,0.0,435.6666666666667,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250102_테스트4 - 영상,25-34,구분필요,-,기타,기타,기타,810,39,2.0,0,0,0.0,0.0,405.0,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250102_테스트4 - 영상,35-44,구분필요,-,기타,기타,기타,767,25,1.0,0,0,0.0,0.0,767.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250102_테스트4 - 영상,45-54,구분필요,-,기타,기타,기타,730,28,1.0,0,0,0.0,0.0,730.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250102_테스트4 - 영상,55-64,구분필요,-,기타,기타,기타,931,22,3.0,0,0,0.0,0.0,310.3333333333333,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250102_테스트4 - 영상,65+,구분필요,-,기타,기타,기타,82,8,1.0,0,0,0.0,0.0,82.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_검색기록,18-24,구분필요,-,기타,기타,기타,68,3,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_검색기록,25-34,구분필요,-,기타,기타,기타,750,22,0.0,0,0,0.0,0.0,0.0,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_검색기록,35-44,구분필요,-,기타,기타,기타,399,11,0.0,0,0,0.0,0.0,0.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_검색기록,45-54,구분필요,-,기타,기타,기타,386,4,0.0,0,0,0.0,0.0,0.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_검색기록,55-64,구분필요,-,기타,기타,기타,58,1,0.0,0,0,0.0,0.0,0.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_검색기록,65+,구분필요,-,기타,기타,기타,240,1,0.0,0,0,0.0,0.0,0.0,65세 이상,전환
